Date Time,Actual Conductivity (µS/cm),Specific Conductivity (µS/cm),Salinity (PSU),Total Dissolved Solids (ppt),Resistivity (Ω⋅cm),Density (g/cm³),Chlorophyll-a Fluorescence (RFU),Chlorophyll-a Concentration (µg/L),RDO Concentration (mg/L),RDO Saturation (%Sat),Oxygen Partial Pressure (Torr),Temperature (°C),Barometric Pressure (mm Hg),Pressure (psi),Depth (ft),External Voltage (V),Battery Capacity (%),Barometric Pressure (mbar),Temperature (°C),Latitude (°),Longitude (°),Marked
2020-01-24T15:05:14Z,33400.79,36324.39,23.43133,23.61086,1522129,1.020027,0.1121353,1.121353,7.386911,97.27206,151.7,20.85243,762.9415,-0.01467016,0.5642365,0.008963167,71,1019.42,22.15088,NA,NA,NA
2020-01-24T15:05:16Z,42722.3,46678.02,30.72727,30.34072,297631.6,1.02173,0.02680295,0.266398,7.307311,97.37821,151.9037,20.70127,763.0818,-0.02534117,0.5410975,9.01363e-4,71,1019.366,22.15916,NA,NA,NA
2020-01-24T15:05:18Z,43373.27,47332.87,31.14313,30.76636,22.95851,1.021769,0.003429572,0.03412119,7.334827,97.73988,152.491,20.63885,763.1132,0.08873952,0.798496,2.088241e-4,71,1019.414,22.15977,NA,NA,NA
2020-01-24T15:05:20Z,43592.29,47580.7,31.32284,30.92745,22.93875,1.021801,0.003646264,0.03640863,7.346209,97.88702,152.7295,20.61586,763.0734,0.08453389,0.7943681,0,71,1019.409,22.16,NA,NA,NA
2020-01-24T15:05:22Z,43574.99,47559.33,31.30703,30.91356,22.94974,1.02179,0.003634871,0.03638732,7.349903,97.92291,152.7874,20.61117,763.0681,0.08901326,0.8052194,0,71,1019.411,22.16,NA,NA,NA
2020-01-24T15:05:24Z,43487.51,47468.22,31.23996,30.85435,22.99512,1.021739,0.00498629,0.0498629,7.354629,97.95376,152.8262,20.60935,763.1839,0.3785078,1.464612,0.008276922,71,1019.41,22.16,NA,NA,NA
2020-01-24T15:05:26Z,46234.56,50508.42,33.48661,32.83047,21.64367,1.02346,0.006071071,0.06071071,7.266651,97.98171,152.9,20.58584,763.2541,1.69592,4.520397,0.008735951,71,1019.376,22.16,NA,NA,NA
2020-01-24T15:05:28Z,48575.6,53133.43,35.44225,34.53672,20.60273,1.024966,0.00503618,0.0503618,7.205156,98.16003,153.2081,20.51138,763.2661,1.818202,4.813649,0.009,71,1019.363,22.16,NA,NA,NA
2020-01-24T15:05:30Z,48976.3,53581.54,35.77555,34.828,20.42073,1.025222,0.004918192,0.04918192,7.194155,98.18504,153.2521,20.50053,763.2691,1.87144,4.938527,0.009,71,1019.36,22.16,NA,NA,NA
2020-01-24T15:05:32Z,49161.88,53801.99,35.93972,34.97129,20.34058,1.025351,0.002418289,0.02418289,7.193987,98.24966,153.3572,20.48443,763.3547,3.746503,9.255908,0.009,71,1019.407,22.16945,NA,NA,NA
2020-01-24T15:05:34Z,49130.23,53793.49,35.93221,34.96577,20.35407,1.025366,0.004313581,0.0431358,7.194306,98.1182,153.2003,20.46135,763.442,5.035638,12.23655,7.174904e-4,71,1019.382,22.16074,26.5500283333333,-82.6977666666667,NA
2020-01-24T15:05:36Z,49096.53,53802.76,35.93706,34.98515,20.37336,1.025387,0.004668764,0.04668764,7.203118,98.1771,153.3112,20.42032,763.4893,5.434235,13.15415,0.008310175,71,1019.417,22.16923,26.55001,-82.6977866666667,NA
2020-01-24T15:05:38Z,49056.87,53809.68,35.93994,34.97763,20.38505,1.025383,0.004670185,0.04670184,7.201818,98.11818,153.2374,20.38686,763.6472,6.382277,15.34475,0.008829792,71,1019.392,22.16981,26.549995,-82.6978133333333,NA
2020-01-24T15:05:40Z,49048.6,53837.87,35.95938,34.99504,20.38811,1.025405,0.006162553,0.06162554,7.200274,98.04222,153.1442,20.34393,763.7204,7.39858,17.6898,0.009,71,1019.408,22.17,26.5500116666667,-82.6978166666667,NA
2020-01-24T15:05:42Z,49045.9,53841.96,35.96213,34.99694,20.38893,1.025408,0.006362644,0.06362645,7.199949,98.02888,153.1276,20.33685,763.7372,7.576827,18.10125,0.009,71,1019.409,22.17,26.5500233333333,-82.6978183333333,NA
2020-01-24T15:05:44Z,49005.52,53832.05,35.95311,34.99083,20.40586,1.02541,0.003634208,0.03634208,7.205982,98.0416,153.1681,20.30567,763.7282,8.351367,21.19449,3.591414e-4,71,1019.429,22.1796,26.5500383333333,-82.69782,NA
2020-01-24T15:05:46Z,48986.56,53837.23,35.95578,34.9942,20.41376,1.025418,0.003590775,0.03590775,7.212125,98.03558,153.1686,20.28279,763.7202,8.984838,21.44613,0.008334185,71,1019.43,22.17074,26.55006,-82.6978216666667,NA
2020-01-24T15:05:48Z,48954.41,53847.88,35.96164,35.00113,20.42717,1.025433,0.005546023,0.05546022,7.211997,98.00601,153.1318,20.25175,763.7133,9.073989,21.579,0.008818891,71,1019.412,22.19628,26.55006,-82.6978216666667,NA
2020-01-24T15:05:50Z,48942.91,53852.36,35.96421,35.00404,20.43197,1.025439,0.002731478,0.02731478,7.216652,98.05247,153.2,20.22817,763.7061,9.345274,22.16503,0.001328085,71,1019.427,22.19883,26.5500716666667,-82.6978233333333,NA
2020-01-24T15:05:52Z,48930.27,53852.7,35.9638,35.00425,20.43725,1.025442,0.004832124,0.04832125,7.221852,98.10385,153.2809,20.21484,763.7431,9.71709,23.03556,0.007995293,71,1019.37,22.17462,26.5500733333333,-82.6978133333333,NA
2020-01-24T15:05:54Z,48928.36,53852.8,35.96378,35.00432,20.43804,1.025443,0.005003496,0.05003496,7.222772,98.11327,153.2954,20.21237,763.7482,9.779447,23.18076,0.008652379,71,1019.362,22.171,26.5500733333333,-82.6978133333333,NA
2020-01-24T15:05:56Z,48924.34,53855.57,35.9655,35.00611,20.43972,1.025446,0.005224233,0.05224233,7.219388,98.10681,153.2988,20.20608,763.7568,9.731781,23.07466,0.009036736,71,1019.425,22.20728,26.5500783333333,-82.6978016666667,NA
2020-01-24T15:05:58Z,48918.21,53859.14,35.96771,35.00844,20.44258,1.025447,0.004315109,0.04315108,7.218217,98.03336,153.1745,20.19696,763.7092,9.861712,23.37353,7.921181e-4,71,1019.393,22.20052,26.5500883333333,-82.6977983333333,NA
2020-01-24T15:06:00Z,48917.02,53865.39,35.972410000000004,35.0125,20.43984,1.025453,0.005675277,0.05675278,7.220278,98.06735,153.2135,20.1987,763.8669,10.93674,25.84419,0.008223271,71,1019.372,22.20018,26.5501033333333,-82.6977983333333,NA
2020-01-24T15:06:02Z,48930.42,53885.44,35.98688,35.02554,20.43684,1.025467,0.005174458,0.05174458,7.222057,98.05132,153.2349,20.18661,763.945,12.22408,28.81746,0.0087627,71,1019.448,22.20868,26.5501166666667,-82.697805,NA
2020-01-24T15:06:04Z,48932.21,53888.39,35.98903,35.02746,20.4363,1.025469,0.005174513,0.05174514,7.222396,98.05116,153.2403,20.18513,763.963,12.44497,29.32709,0.009223056,71,1019.458,22.20984,26.5501316666667,-82.6978133333333,NA
